Book_page,Year,Site,Nest_ID,Species,Observer,Date_found,how_found,Clutch_max,floatAge,ageMethod
,2010,chur,10churle04c,lesa,frousseu,2010-06-17,searcher,4,,
,2010,chur,10churle05c,lesa,frousseu,2010-06-21,searcher,4,,
,2010,chur,10churle06c,lesa,frousseu,2010-06-30,searcher,4,,
,2010,chur,10churle07c,lesa,frousseu,2010-07-01,searcher,4,,
,2010,chur,10churle08c,lesa,frousseu,2010-06-18,searcher,4,,
,2010,chur,10churph01c,rnph,frousseu,2010-06-24,searcher,4,,
,2010,chur,10churph02c,rnph,frousseu,2010-06-25,searcher,4,,
,2010,chur,10churph03c,rnph,frousseu,2010-06-25,searcher,4,,
,2010,chur,10churph05c,rnph,frousseu,2010-06-26,searcher,4,,
,2010,chur,10churph07c,rnph,frousseu,2010-06-27,searcher,4,,
,2010,chur,10churph11c,rnph,frousseu,2010-06-28,searcher,4,,
,2010,chur,10churph12c,rnph,frousseu,2010-06-29,searcher,4,,
,2010,chur,10churph13c,rnph,frousseu,2010-07-01,searcher,4,,
,2010,chur,10churph14c,rnph,frousseu,2010-06-12,searcher,4,,
,2010,chur,10churwh01c,whim,frousseu,2010-06-11,searcher,4,,
,2010,chur,10churwh02c,whim,frousseu,2010-06-11,searcher,2,,
,2010,chur,10churwh08c,whim,frousseu,2010-06-14,searcher,4,,
,2010,chur,10churwh09c,whim,frousseu,2010-06-15,searcher,2,,
,2010,chur,10churwh10c,whim,frousseu,2010-06-15,searcher,1,,
,2010,chur,10churwh11c,whim,frousseu,2010-06-15,searcher,4,,
,2010,chur,10churwh12c,whim,frousseu,2010-06-15,searcher,4,,
,2010,chur,10churwh13c,whim,frousseu,2010-06-18,searcher,3,,
,2010,chur,10churwh14c,whim,frousseu,2010-06-19,searcher,4,,
,2010,chur,10churwh15c,whim,frousseu,2010-06-19,searcher,4,,
,2010,chur,10churwh16c,whim,frousseu,2010-06-20,searcher,4,,
,2010,chur,10churwh17c,whim,frousseu,2010-06-21,searcher,3,,
,2010,chur,10churwh18c,whim,frousseu,2010-06-22,searcher,4,,
,2010,chur,10churwh19c,whim,frousseu,2010-06-22,searcher,2,,
2.12,2011,chur,11chur11du12,dunl,Cornell,2011-06-16,searcher,4,,float
2.2,2011,chur,11chur11du20,dunl,clishman,2011-06-21,searcher,4,,float
2.29,2011,chur,11chur11du29,dunl,lmckinnon,2011-06-28,searcher,4,,
3.01,2011,chur,11chur11ph01,rnph,hspecht,2011-06-14,searcher,2,,
3.02,2011,chur,11chur11ph02,rnph,hspecht,2011-06-20,searcher,2,,float
3.03,2011,chur,11chur11ph03,rnph,edastous,2011-06-21,searcher,4,,float
3.05,2011,chur,11chur11ph05,rnph,edastous,2011-06-21,searcher,3,,
3.07,2011,chur,11chur11ph07,rnph,hspecht,2011-06-23,searcher,4,,float
3.08,2011,chur,11chur11ph08,rnph,edastous,2011-06-24,searcher,4,,float
3.09,2011,chur,11chur11ph09,rnph,hspecht,2011-06-27,searcher,4,,hatch
3.1,2011,chur,11chur11ph10,rnph,edastous,2011-06-29,searcher,5,,float
,2011,chur,11churwhim06,whim,L.McKinnon,2011-06-19,searcher,4,5,float
,2011,chur,11churwhim08,whim,H.Specht,2011-06-20,searcher,4,4,float
,2011,chur,11churwhim14,whim,MHM,2011-06-23,searcher,4,8,float
,2011,chur,11churwhim16,whim,HMS,2011-06-25,searcher,1,7,float
