Abbreviation,Name
nlecomte,Nicolas Lecomte
nmacdonald,Nicole MacDonald
nmanintveld,Naomi Man in 't Veld
nsenner,Nathan R. Senner
ohicks,Olivia Hicks
ojames,Oliver James
pbertrand,Philippe Bertrand
pchilton,Penelope Chilton
pherzog,Patrick Herzog
proyerboutin,Pascal Royer-Boutin
psmith,Paul Smith
pwoodard,Paul Woodard
rburner,Ryan Burner
rchurchwell,Roy Churchwell
rdugan,Ronan A. Dugan
rgates,River Gates
rhammond,Ruby Hammond
rharned,Ronnie Harned
rhildebrandt,Reid Hildebrandt
rhunnewell,Robin Hunnewell
rlanctot,Richard B. Lanctot
rnakoochee,Roberta Nakoochee
sbennett,Steve Bennett
sbillerman,Shawn M. Billerman
sbrown,Stephen Brown
sbuckell,Simon Buckell
scarvey,Shannon Carvey
sflemming,Scott Flemming
sfranks,Samantha Franks
sfreeman,Scott Freeman
shart,Steve Hart
sjeswiet,Sarah Jeswiet
skendall,Steve Kendall
skolbe,Steve Kolbe
sneima,Sarah Neima
ssaalfeld,Sarah Saalfeld
sschulte,Shiloh Schulte
ssheedy,Sydney Sheedy
sskinner,Shelby Skinner
svartanyan,Sergey Vartanyan
svissault,Steve Vissault
tdonnelly,Tyrone Donnelly
tdoyle,Terry Doyle
tesson,Tommy Esson
tfarrugia,Thomas Farrugia
tkydd,Tyler Kydd
tmankis,Tobias Mankis
triecke,Thomas Riecke
tstclair,Toby St. Clair
vamarualik,Valerie Amarualik
vbaranyuk,Vasily Baranyuk
vjirinec,Vitek Jirinec
vkokhanova,Vera Kokhanova
vloverti,Vanessa Loverti
wenglish,Willow English
wkennerley,Will Kennerley
yhhsu,Yu-Hsun Hsu (Echo)
zharris,Zack Harris
zlebrunsouthcott,Zoe Lebrun-Southcott
