Year,Site,Date,Jdate,Start_time,End_time,Hours,Count_type,Species,Count,Num_observers,Nests_or_dens,Team_count,Observer
2014,barr,2005-08-14,217,11:09:00,13:09:00,2,exact,glgu,10,1,0,n,ssheedy
2014,barr,2005-08-14,217,11:09:00,13:09:00,2,exact,poja,15,1,0,n,ssheedy
2014,barr,2005-08-14,217,11:09:00,13:09:00,2,exact,paja,1,1,0,n,ssheedy
2014,barr,2005-08-14,217,11:09:00,13:09:00,2,exact,snow,5,1,0,n,ssheedy
2013,bylo,2005-08-13,217,10:00:00,21:00:00,11,exact,cora,2,1,0,n,dleandribreton
2013,bylo,2005-08-13,217,10:00:00,21:00:00,11,exact,glgu,6,1,0,n,dleandribreton
2013,bylo,2005-08-13,217,10:00:00,21:00:00,11,exact,sacr,4,1,0,n,dleandribreton
2013,bylo,2004-08-13,216,10:00:00,16:00:00,6,exact,cora,2,1,0,n,dleandribreton
2013,bylo,2004-08-13,216,10:00:00,16:00:00,6,exact,glgu,4,1,0,n,dleandribreton
2013,bylo,2004-08-13,216,10:00:00,16:00:00,6,exact,sacr,2,1,0,n,dleandribreton
2013,bylo,2003-08-13,215,10:30:00,18:00:00,7.5,exact,cora,2,2,0,y,dleandribreton
2013,bylo,2003-08-13,215,10:30:00,18:00:00,7.5,exact,glgu,5,2,0,y,dleandribreton
2013,bylo,2003-08-13,215,10:30:00,18:00:00,7.5,exact,pefa,1,2,0,y,dleandribreton
2013,bylo,2003-08-13,215,10:30:00,18:00:00,7.5,exact,pobe,3,2,0,y,dleandribreton
2013,bylo,2003-08-13,215,10:30:00,18:00:00,7.5,exact,sacr,4,2,0,y,dleandribreton
2013,bylo,2002-08-13,214,10:00:00,19:00:00,9,exact,cora,1,2,0,y,dleandribreton
2013,bylo,2002-08-13,214,10:00:00,19:00:00,9,exact,glgu,5,2,0,y,dleandribreton
2013,bylo,2002-08-13,214,10:00:00,19:00:00,9,exact,sacr,2,2,0,y,dleandribreton
2013,bylo,2001-08-13,213,16:00:00,19:00:00,3,exact,cora,1,2,0,y,dleandribreton
2013,bylo,2001-08-13,213,16:00:00,19:00:00,3,exact,glgu,9,2,0,y,dleandribreton
2013,bylo,2001-08-13,213,16:00:00,19:00:00,3,exact,sacr,3,2,0,y,dleandribreton
2013,bylo,2031-07-13,212,22:00:00,00:00:00,2,exact,glgu,2,2,0,y,dleandribreton
2013,bylo,2031-07-13,212,22:00:00,00:00:00,2,exact,sacr,4,2,0,y,dleandribreton
2013,bylo,2030-07-13,211,10:00:00,16:00:00,6,exact,cora,3,2,0,y,dleandribreton
2013,bylo,2030-07-13,211,10:00:00,16:00:00,6,exact,glgu,6,2,0,y,dleandribreton
2013,bylo,2030-07-13,211,10:00:00,16:00:00,6,exact,sacr,4,2,0,y,dleandribreton
2014,colv,2029-07-14,210,12:45:00,14:15:00,1.5,exact,glgu,3,1,0,n,agottesman
2014,colv,2029-07-14,210,12:45:00,14:15:00,1.5,exact,paja,4,1,0,n,agottesman
2014,colv,2029-07-14,210,12:45:00,14:15:00,1.5,exact,ltja,4,1,0,n,agottesman
2014,colv,2029-07-14,210,12:45:00,14:15:00,1.5,exact,refo,4,1,0,n,agottesman
2014,colv,2029-07-14,210,12:45:00,14:15:00,1.5,est,agsq,10,1,0,n,agottesman
2014,barr,2029-07-14,210,11:00:00,12:50:00,1.83,est,glgu,10,1,0,n,mballvanzee
2014,barr,2029-07-14,210,11:00:00,12:50:00,1.83,exact,poja,2,1,0,n,mballvanzee
2014,barr,2029-07-14,210,11:00:00,12:50:00,1.83,exact,paja,3,1,0,n,mballvanzee
2014,barr,2029-07-14,210,09:47:00,11:47:00,2,exact,glgu,2,1,0,n,ssheedy
2014,barr,2029-07-14,210,09:47:00,11:47:00,2,exact,poja,13,1,0,n,ssheedy
2014,barr,2029-07-14,210,09:47:00,11:47:00,2,exact,paja,5,1,0,n,ssheedy
2014,barr,2029-07-14,210,10:15:00,12:15:00,2,exact,glgu,3,1,0,n,asterling
2014,barr,2029-07-14,210,10:15:00,12:15:00,2,exact,poja,2,1,0,n,asterling
2014,barr,2029-07-14,210,12:07:00,14:22:00,2.25,exact,glgu,5,1,0,n,ssheedy
2014,barr,2029-07-14,210,12:07:00,14:22:00,2.25,exact,poja,9,1,0,n,ssheedy
2014,barr,2029-07-14,210,12:07:00,14:22:00,2.25,exact,snow,1,1,0,n,ssheedy
2014,barr,2029-07-14,210,09:00:00,12:00:00,3,exact,glgu,4,1,0,n,jmarin
2014,barr,2029-07-14,210,09:00:00,12:00:00,3,exact,poja,7,1,0,n,jmarin
2014,barr,2029-07-14,210,09:00:00,12:00:00,3,exact,paja,4,1,0,n,jmarin
2014,barr,2029-07-14,210,09:00:00,12:00:00,3,exact,snow,2,1,0,n,jmarin
2014,barr,2029-07-14,210,12:00:00,15:00:00,3,exact,glgu,3,1,0,n,jmarin
2014,barr,2029-07-14,210,12:00:00,15:00:00,3,exact,poja,11,1,0,n,jmarin
2014,barr,2029-07-14,210,12:00:00,15:00:00,3,exact,paja,1,1,0,n,jmarin
