Abbreviation,Name
bdalziel,Bronwyn Dalziel
dmcrae,Doug McRae
mevers,Michael Evers
rnakoochee,Roberta Nakoochee
jeschenroeder,Jackman Eschenroeder
jhughey,Jared Hughey
mcorrell,Maureen Correll
cmontgomerie,Claire Montgomerie
emagnuson,Emily Magnuson
jdiener,John Diener
lgoodrick,Lizzie Goodrick
amatsyna,Alexader Matsyna
kmatsyna,Katya Matsyna
cmurchison,Colleen Murchison
tmankis,Tobias Mankis
gholmes,Gillian Holmes
codwyer,Carol O'Dwyer
jrobinson,Jill Robinson
nmacdonald,Nicole MacDonald
sschulte,Shiloh Schulte
sflemming,Scott Flemming
kreischke,Karissa Reischke
sneima,Sarah Neima
wkennerley,Will Kennerley
lburlingame,Luke Burlingame
agottesman,Aaron Gottesman
aissisgaitok,Albert Issisgaitok
dattagutaluk,David Attagutaluk
ataqtaq,Amanda Taqtaq
mtrottierpaquet,Myriam Trottier-Paquet
mcfrenette,Marie-Christine Frenette
nlecomte,Nicolas Lecomte
pchilton,Penelope Chilton
mdodds,Mark Dodds
rhammond,Ruby Hammond
pwoodard,Paul Woodard
tkydd,Tyler Kydd
eweiser,Emily Weiser
brobinson1,Brian Robinson
brobinson2,Bryce Robinson
