Year,Site,Start,End,Observer
2011,eaba,2011-06-10,2011-07-25,mmccloskey
2011,eaba,2011-06-10,2011-07-25,mvezina
2011,eaba,2011-06-10,2011-07-25,mharing
2011,ikpi,2011-06-21,2011-06-22,jliebezeit
2011,ikpi,2011-06-08,2011-06-20,jliebezeit
2011,ikpi,2011-06-04,2011-07-06,jliebezeit
2011,ikpi,2011-06-09,2011-07-13,amines
2011,ikpi,2011-06-09,2011-07-13,cbishop
2011,ikpi,2011-06-09,2011-07-13,csmith
2011,ikpi,2011-06-09,2011-07-13,kpietrzak
2011,ikpi,2011-06-09,2011-07-13,mmudge
2011,ikpi,2011-06-09,2011-07-13,ncook
2011,ikpi,2011-06-09,2011-07-13,vjirinec
2011,ikpi,2011-06-09,2011-07-17,jkelso
2011,ikpi,2011-06-09,2011-07-17,lyen
2011,ikpi,2011-06-04,2011-07-18,aperry
2011,ikpi,2011-06-04,2011-07-18,brobinson1
2011,ikpi,2011-06-04,2011-07-18,zlebrunsouthcott
2011,made,2011-06-27,2011-07-04,kkardynal
2011,made,2011-06-12,2011-07-12,vamarualik
2011,made,2011-06-04,2011-07-12,knuyaviak
2011,made,2011-06-04,2011-07-12,lpirie
2011,made,2011-06-04,2011-07-12,mmichaud
2011,made,2011-06-04,2011-07-12,sskinner
2011,nome,2011-05-12,2011-05-27,sfranks
2011,nome,2011-05-12,2011-07-06,bsandercock
2011,nome,2011-06-03,2011-08-06,dlank
2011,nome,2011-05-21,2011-07-25,tesson
2011,nome,2011-05-13,2011-07-20,mwilson
2011,nome,2011-05-13,2011-07-20,wenglish
2011,nome,2011-05-12,2011-07-25,eescajeda
2011,nome,2011-05-12,2011-07-25,ekwon
2011,prba,2011-06-03,2011-06-24,chojnowski
2011,prba,2011-06-03,2011-07-18,skolbe
2012,barr,2012-05-31,2012-06-03,rlanctot
2012,barr,2012-06-25,2012-07-06,dsaalfeld
2012,barr,2012-06-25,2012-07-06,rlanctot
2012,barr,2012-06-20,2012-07-06,ssaalfeld
2012,barr,2012-05-26,2012-07-16,bverheijen
2012,barr,2012-05-26,2012-07-16,kgrond
2012,barr,2012-06-02,2012-08-01,mmcconnell
2012,barr,2012-06-01,2012-08-01,bhill
2012,barr,2012-06-01,2012-08-02,pherzog
2012,barr,2012-05-24,2012-08-03,jcunningham
2012,burn,2012-06-06,2012-06-22,dfillman
2012,burn,2012-06-06,2012-06-22,jbrunjes
2012,burn,2012-06-06,2012-06-22,kabraham
2012,burn,2012-06-06,2012-06-22,kbennett
2012,burn,2012-06-06,2012-06-22,mpeck
2012,burn,2012-06-06,2012-06-22,mburrell
2012,burn,2012-06-22,2012-07-18,jiron
2012,burn,2012-06-22,2012-07-18,jsauer
2012,burn,2012-06-06,2012-07-18,jbelliveau
2012,burn,2012-06-06,2012-07-18,mbirarda
2012,bylo,2012-06-22,2012-07-21,cdoucet
2012,bylo,2012-06-12,2012-08-04,fsenezgagnon
2012,bylo,2012-06-07,2012-08-04,jflamarre
2012,bylo,2012-06-07,2012-08-04,proyerboutin
2012,bylo,2012-06-12,2012-08-21,djleandry
2012,bylo,2012-06-07,2012-08-05,mtrudel
2012,bylo,2012-06-01,2012-08-05,jflamarre
2012,bylo,2012-06-01,2012-08-05,cdoucet
2012,bylo,2012-06-07,2012-08-21,proyerboutin
2012,cakr,2012-05-16,2012-07-09,edastous
2012,cakr,2012-05-16,2012-07-09,mvanderheyden
2012,cakr,2012-05-16,2012-07-09,rgates
2012,cakr,2012-05-16,2012-07-09,svissault
2012,cari,2012-06-02,2012-07-02,bwinn
2012,cari,2012-06-02,2012-07-02,mlafaver
2012,cari,2012-06-03,2012-07-09,epierce
2012,cari,2012-06-03,2012-07-09,idavies
2012,cari,2012-06-02,2012-07-09,akneidel
2012,cari,2012-06-02,2012-07-09,lkoloski
2012,cari,2012-06-03,2012-07-17,asoto
2012,cari,2012-06-02,2012-07-17,sfreeman
